Order_ID,order_date,Region,Country,Customer_ID,Customer_Name,Segment,day_to_ship,Product_ID,Category,Subcategory,Quantity,sales_THB
CA-2016-152156,2023-11-08,South,United States,CG-12520,Raf Bratchell,Consumer,3.0,FUR-BO-10001798,Furniture,Bookcases,2,9520.34
CA-2016-152156,2023-11-08,South,United States,CG-12520,Raf Bratchell,Consumer,3.0,FUR-CH-10000454,Furniture,Chairs,3,26600.7
CA-2016-138688,2023-06-12,West,United States,DV-13045,Maurizio O' Mara,Corporate,4.0,OFF-LA-10000240,Office Supplies,Labels,2,
CA-2017-114412,2024-04-15,South,United States,AA-10480,Fin Buglar,Consumer,5.0,OFF-PA-10002365,Office Supplies,Paper,3,558.3
CA-2016-161389,2023-12-05,West,United States,IM-15070,Gena Dendle,Consumer,5.0,OFF-BI-10003656,Office Supplies,Binders,3,14863.97
CA-2016-101343,2023-07-17,West,United States,RA-19885,Zabrina Heinish,Corporate,5.0,OFF-ST-10003479,Office Supplies,Storage,2,
CA-2016-169194,2023-06-20,East,United States,LH-16900,Shawn Parell,Consumer,5.0,TEC-AC-10002167,Technology,Accessories,3,
CA-2016-169194,2023-06-20,East,United States,LH-16900,Shawn Parell,Consumer,5.0,TEC-PH-10003988,Technology,Phones,2,
CA-2016-105816,2023-12-11,East,United States,JM-15265,Denni Ruse,Corporate,6.0,OFF-FA-10000304,Office Supplies,Fasteners,7,553.41
CA-2016-105816,2023-12-11,East,United States,JM-15265,Denni Ruse,Corporate,6.0,TEC-PH-10002447,Technology,Phones,5,37351.41
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,OFF-ST-10000604,Office Supplies,Storage,6,
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,OFF-PA-10001569,Office Supplies,Paper,5,
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,FUR-CH-10003968,Furniture,Chairs,5,
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,OFF-PA-10000587,Office Supplies,Paper,2,
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,TEC-AC-10002167,Technology,Accessories,2,
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,OFF-BI-10001460,Office Supplies,Binders,4,
CA-2016-111682,2023-06-17,East,United States,TB-21055,Ariadne Metheringham,Consumer,1.0,OFF-AR-10001868,Office Supplies,Art,1,
CA-2016-119823,2023-06-04,South,United States,KD-16270,Shell Maybey,Consumer,2.0,OFF-PA-10000482,Office Supplies,Paper,2,
CA-2016-106075,2023-09-18,East,United States,HM-14980,Rozanne Cassells,Consumer,5.0,OFF-BI-10004654,Office Supplies,Binders,1,
CA-2016-127208,2023-06-12,South,United States,SC-20770,Clemens Riddich,Corporate,3.0,OFF-AP-10002118,Office Supplies,Appliances,1,
CA-2016-127208,2023-06-12,South,United States,SC-20770,Clemens Riddich,Corporate,3.0,OFF-BI-10002309,Office Supplies,Binders,3,
CA-2016-159695,2023-04-05,Central,United States,GM-14455,Fritz Grishelyov,Home Office,5.0,OFF-ST-10003442,Office Supplies,Storage,7,
CA-2016-109806,2023-09-17,West,United States,JS-15685,Glad Dainton,Corporate,5.0,OFF-AR-10004930,Office Supplies,Art,3,
CA-2016-109806,2023-09-17,West,United States,JS-15685,Glad Dainton,Corporate,5.0,TEC-PH-10004093,Technology,Phones,2,
CA-2016-109806,2023-09-17,West,United States,JS-15685,Glad Dainton,Corporate,5.0,OFF-PA-10000304,Office Supplies,Paper,1,
CA-2016-128867,2023-11-03,Central,United States,CL-12565,Ranna Giovanitti,Consumer,7.0,OFF-AR-10000380,Office Supplies,Art,2,2729.48
CA-2016-128867,2023-11-03,Central,United States,CL-12565,Ranna Giovanitti,Consumer,7.0,OFF-BI-10003981,Office Supplies,Binders,6,978.82
CA-2016-103730,2023-06-12,East,United States,SC-20725,Chalmers Sedgeworth,Consumer,3.0,FUR-FU-10002157,Furniture,Furnishings,3,
